Numer elementu / Lokalny numer wezla / Globalny numer wezla / (x,y)
(117, 3, 160, (40.0, -42.5))
(117, 4, 161, (42.5, -42.5))
(118, 1, 120, (42.5, -45.0))
(118, 2, 121, (45.0, -45.0))
(118, 3, 161, (42.5, -42.5))
(118, 4, 162, (45.0, -42.5))
(119, 1, 121, (45.0, -45.0))
(119, 2, 122, (47.5, -45.0))
(119, 3, 162, (45.0, -42.5))
(119, 4, 163, (47.5, -42.5))
(120, 1, 122, (47.5, -45.0))
(120, 2, 123, (50.0, -45.0))
(120, 3, 163, (47.5, -42.5))
(120, 4, 164, (50.0, -42.5))
(121, 1, 124, (-50.0, -42.5))
(121, 2, 125, (-47.5, -42.5))
(121, 3, 165, (-50.0, -40.0))
(121, 4, 166, (-47.5, -40.0))
(122, 1, 125, (-47.5, -42.5))
(122, 2, 126, (-45.0, -42.5))
(122, 3, 166, (-47.5, -40.0))
(122, 4, 167, (-45.0, -40.0))
(123, 1, 126, (-45.0, -42.5))
(123, 2, 127, (-42.5, -42.5))
(123, 3, 167, (-45.0, -40.0))
(123, 4, 168, (-42.5, -40.0))
(124, 1, 127, (-42.5, -42.5))
(124, 2, 128, (-40.0, -42.5))
(124, 3, 168, (-42.5, -40.0))
(124, 4, 169, (-40.0, -40.0))
(125, 1, 128, (-40.0, -42.5))
(125, 2, 129, (-37.5, -42.5))
(125, 3, 169, (-40.0, -40.0))
(125, 4, 170, (-37.5, -40.0))
(126, 1, 129, (-37.5, -42.5))
(126, 2, 130, (-35.0, -42.5))
(126, 3, 170, (-37.5, -40.0))
(126, 4, 171, (-35.0, -40.0))
(127, 1, 130, (-35.0, -42.5))
(127, 2, 131, (-32.5, -42.5))
(127, 3, 171, (-35.0, -40.0))
(127, 4, 172, (-32.5, -40.0))
(128, 1, 131, (-32.5, -42.5))
(128, 2, 132, (-30.0, -42.5))
(128, 3, 172, (-32.5, -40.0))
(128, 4, 173, (-30.0, -40.0))
(129, 1, 132, (-30.0, -42.5))
(129, 2, 133, (-27.5, -42.5))
(129, 3, 173, (-30.0, -40.0))
(129, 4, 174, (-27.5, -40.0))
(130, 1, 133, (-27.5, -42.5))
(130, 2, 134, (-25.0, -42.5))
(130, 3, 174, (-27.5, -40.0))
(130, 4, 175, (-25.0, -40.0))
(131, 1, 134, (-25.0, -42.5))
(131, 2, 135, (-22.5, -42.5))
(131, 3, 175, (-25.0, -40.0))
(131, 4, 176, (-22.5, -40.0))
(132, 1, 135, (-22.5, -42.5))
(132, 2, 136, (-20.0, -42.5))
(132, 3, 176, (-22.5, -40.0))
(132, 4, 177, (-20.0, -40.0))
(133, 1, 136, (-20.0, -42.5))
(133, 2, 137, (-17.5, -42.5))
(133, 3, 177, (-20.0, -40.0))
(133, 4, 178, (-17.5, -40.0))
(134, 1, 137, (-17.5, -42.5))
(134, 2, 138, (-15.0, -42.5))
(134, 3, 178, (-17.5, -40.0))
(134, 4, 179, (-15.0, -40.0))
(135, 1, 138, (-15.0, -42.5))
(135, 2, 139, (-12.5, -42.5))
(135, 3, 179, (-15.0, -40.0))
(135, 4, 180, (-12.5, -40.0))
(136, 1, 139, (-12.5, -42.5))
(136, 2, 140, (-10.0, -42.5))
(136, 3, 180, (-12.5, -40.0))
(136, 4, 181, (-10.0, -40.0))
(137, 1, 140, (-10.0, -42.5))
(137, 2, 141, (-7.5, -42.5))
(137, 3, 181, (-10.0, -40.0))
(137, 4, 182, (-7.5, -40.0))
(138, 1, 141, (-7.5, -42.5))
(138, 2, 142, (-5.0, -42.5))
(138, 3, 182, (-7.5, -40.0))
(138, 4, 183, (-5.0, -40.0))
(139, 1, 142, (-5.0, -42.5))
(139, 2, 143, (-2.5, -42.5))
(139, 3, 183, (-5.0, -40.0))
(139, 4, 184, (-2.5, -40.0))
(140, 1, 143, (-2.5, -42.5))
(140, 2, 144, (0.0, -42.5))
(140, 3, 184, (-2.5, -40.0))
(140, 4, 185, (0.0, -40.0))
(141, 1, 144, (0.0, -42.5))
(141, 2, 145, (2.5, -42.5))
(141, 3, 185, (0.0, -40.0))
(141, 4, 186, (2.5, -40.0))
(142, 1, 145, (2.5, -42.5))
(142, 2, 146, (5.0, -42.5))
(142, 3, 186, (2.5, -40.0))
(142, 4, 187, (5.0, -40.0))
(143, 1, 146, (5.0, -42.5))
(143, 2, 147, (7.5, -42.5))
(143, 3, 187, (5.0, -40.0))
(143, 4, 188, (7.5, -40.0))
(144, 1, 147, (7.5, -42.5))
(144, 2, 148, (10.0, -42.5))
(144, 3, 188, (7.5, -40.0))
(144, 4, 189, (10.0, -40.0))
(145, 1, 148, (10.0, -42.5))
(145, 2, 149, (12.5, -42.5))
(145, 3, 189, (10.0, -40.0))
(145, 4, 190, (12.5, -40.0))
(146, 1, 149, (12.5, -42.5))
(146, 2, 150, (15.0, -42.5))
(146, 3, 190, (12.5, -40.0))
(146, 4, 191, (15.0, -40.0))
(147, 1, 150, (15.0, -42.5))
(147, 2, 151, (17.5, -42.5))
(147, 3, 191, (15.0, -40.0))
(147, 4, 192, (17.5, -40.0))
(148, 1, 151, (17.5, -42.5))
(148, 2, 152, (20.0, -42.5))
(148, 3, 192, (17.5, -40.0))
(148, 4, 193, (20.0, -40.0))
(149, 1, 152, (20.0, -42.5))
(149, 2, 153, (22.5, -42.5))
(149, 3, 193, (20.0, -40.0))
(149, 4, 194, (22.5, -40.0))
(150, 1, 153, (22.5, -42.5))
(150, 2, 154, (25.0, -42.5))
(150, 3, 194, (22.5, -40.0))
(150, 4, 195, (25.0, -40.0))
(151, 1, 154, (25.0, -42.5))
(151, 2, 155, (27.5, -42.5))
(151, 3, 195, (25.0, -40.0))
(151, 4, 196, (27.5, -40.0))
(152, 1, 155, (27.5, -42.5))
(152, 2, 156, (30.0, -42.5))
(152, 3, 196, (27.5, -40.0))
(152, 4, 197, (30.0, -40.0))
(153, 1, 156, (30.0, -42.5))
(153, 2, 157, (32.5, -42.5))
(153, 3, 197, (30.0, -40.0))
(153, 4, 198, (32.5, -40.0))
(154, 1, 157, (32.5, -42.5))
(154, 2, 158, (35.0, -42.5))
(154, 3, 198, (32.5, -40.0))
(154, 4, 199, (35.0, -40.0))
(155, 1, 158, (35.0, -42.5))
(155, 2, 159, (37.5, -42.5))
(155, 3, 199, (35.0, -40.0))
(155, 4, 200, (37.5, -40.0))
(156, 1, 159, (37.5, -42.5))
(156, 2, 160, (40.0, -42.5))
(156, 3, 200, (37.5, -40.0))
(156, 4, 201, (40.0, -40.0))
(157, 1, 160, (40.0, -42.5))
(157, 2, 161, (42.5, -42.5))
(157, 3, 201, (40.0, -40.0))
(157, 4, 202, (42.5, -40.0))
(158, 1, 161, (42.5, -42.5))
(158, 2, 162, (45.0, -42.5))
(158, 3, 202, (42.5, -40.0))
(158, 4, 203, (45.0, -40.0))
(159, 1, 162, (45.0, -42.5))
(159, 2, 163, (47.5, -42.5))
(159, 3, 203, (45.0, -40.0))
(159, 4, 204, (47.5, -40.0))
(160, 1, 163, (47.5, -42.5))
(160, 2, 164, (50.0, -42.5))
(160, 3, 204, (47.5, -40.0))
(160, 4, 205, (50.0, -40.0))
(161, 1, 165, (-50.0, -40.0))
(161, 2, 166, (-47.5, -40.0))
(161, 3, 206, (-50.0, -37.5))
(161, 4, 207, (-47.5, -37.5))
(162, 1, 166, (-47.5, -40.0))
(162, 2, 167, (-45.0, -40.0))
(162, 3, 207, (-47.5, -37.5))
(162, 4, 208, (-45.0, -37.5))
(163, 1, 167, (-45.0, -40.0))
(163, 2, 168, (-42.5, -40.0))
(163, 3, 208, (-45.0, -37.5))
(163, 4, 209, (-42.5, -37.5))
(164, 1, 168, (-42.5, -40.0))
(164, 2, 169, (-40.0, -40.0))
(164, 3, 209, (-42.5, -37.5))
(164, 4, 210, (-40.0, -37.5))
(165, 1, 169, (-40.0, -40.0))
(165, 2, 170, (-37.5, -40.0))
(165, 3, 210, (-40.0, -37.5))
(165, 4, 211, (-37.5, -37.5))
(166, 1, 170, (-37.5, -40.0))
(166, 2, 171, (-35.0, -40.0))
(166, 3, 211, (-37.5, -37.5))
(166, 4, 212, (-35.0, -37.5))
(167, 1, 171, (-35.0, -40.0))
